Animal_Type,Time_Period,Count_Of_Animals,How_Safe_Is_Species,Winter_Snow_Depth_Inches,Summer_Temperature_F,Travel_Distance_Miles,Spring_Travel_Day_Of_Year,Fall_Travel_Day_Of_Year,Reason_For_Traveling,Travel_Route_Name,Danger_Of_Blocked_Routes,Baby_Birth_Rate_Percent,Baby_Survival_Rate_Percent,Adult_Death_Rate_Percent,Hunted_By_Predators_Scale,Sick_Animals_Percent,Fights_With_Humans_Per_Year,Home_Quality_Score,Living_Space_Square_Miles,Food_Availability_Score,Protection_Money_Thousands_USD,Tracking_Collars_Used,Tourist_Sightings_Thousands,Tourism_Business_Score
Gray Wolf,2016-2025,98,Recovered,68.5,73.4,38.2,111,299.8,Food Availability,Northern Range-Lamar,Low,21.9,56.8,12.1,2.8,8.5,44,0.75,3472,3.3,579,15,9.6,8.6
Grizzly Bear,1976-1985,303,Threatened,79.2,72.6,21.8,116.5,286.8,Hyperphagia/Denning,High Elevation Interior,Low,20.4,56.7,15.5,2.4,8.2,29,0.7,3472,3.5,105,0,1.5,3.5
Grizzly Bear,1986-1995,425,Threatened,68.1,71.7,21.5,118.7,286.4,Hyperphagia/Denning,High Elevation Interior,Low,19,55.9,13.7,3.4,6.2,29,0.72,3472,3.2,222,7,3.7,3.6
Grizzly Bear,1996-2005,540,Threatened,86.4,71,20.9,117.9,287.6,Hyperphagia/Denning,High Elevation Interior,Low,21,61.6,11.8,6.3,9,35,0.76,3472,3.6,342,11,5.7,7.8
Grizzly Bear,2006-2015,661,Recovered,64.2,71.7,23.3,118.2,289.5,Hyperphagia/Denning,High Elevation Interior,Low,20.2,62.2,13.6,6,8.6,44,0.81,3472,3.6,469,9,7.4,8.5
Grizzly Bear,2016-2025,784,Recovered,85.2,74,26.2,120.1,289.6,Hyperphagia/Denning,High Elevation Interior,Low,20.1,59.4,15.5,6.6,8.7,48,0.75,3472,3.4,581,8,9.4,8.4
Pronghorn,1976-1985,418,Concern,68.3,73.5,72.6,104.2,306.8,Food Availability,Gardiner Basin Route,Low,19.3,57.5,14.3,2.7,7.7,28,0.75,3382,3.5,102,0,1.2,2.5
Pronghorn,1986-1995,428,Concern,82.9,72.2,59,103.5,300.9,Food Availability,Gardiner Basin Route,Low,18.5,57,13.8,3.7,7.9,26,0.71,3342,3.7,223,4,3.4,3.7
Pronghorn,1996-2005,423,Concern,72.3,72.6,71.5,106.6,298.8,Food Availability,Gardiner Basin Route,High,20.3,57.3,16.8,7.5,7.9,41,0.73,3302,3.5,341,10,5.2,7
Pronghorn,2006-2015,407,Concern,63.7,71,52.7,101.9,299.6,Food Availability,Gardiner Basin Route,High,19.3,55.6,13.5,6.8,8.6,44,0.68,3262,3.6,467,7,7.7,8
Pronghorn,2016-2025,419,Concern,71.1,74.6,68.8,104,301.8,Food Availability,Gardiner Basin Route,High,20.7,57.1,16.3,5.8,8,50,0.79,3222,3.6,586,9,9.6,8.2
